   0.0027s   c ------------------------------------------------------------
   0.0006s   c fastLEC v1.0
   0.0001s   c Author: Xindi Zhang
   0.0000s   c Email: dezhangxd96@gmail.com
   0.0000s   c ------------------------------------------------------------
   0.0000s   c [parser] input file: ../ins/miter_right/bit18/mul18o18.aig
   0.0000s   c [parser] mode: gpuES
   0.0000s   c [parser] threads: 1
   0.0000s   c [parser] timeout: 3600.00 seconds
   0.0000s   c [parser] verbose: 2
   0.0000s   c ------------------------------------------------------------
   0.0000s   c [Prover] Start to parsing AIGER file: ../ins/miter_right/bit18/mul18o18.aig
   0.0000s   c [AIG] successfully load AIGER file with MILOA: 8819 36 0 1 8783
   0.0000s   c [Prover] read AIGER file in 0.000862 seconds
   0.0000s   c [CEC] Starting CEC check...
   0.0000s   c [gpu] Detected 1 CUDA device(s):
   0.0000s   c [gpu] Device 0: NVIDIA GeForce RTX 4090
   0.0000s   c [gpu] - Compute Cap.: 8.9, Glob. Mem.: 23.64 GB, Multipro. Cnt: 128
   0.0000s   c [gpu] - Max Threads/Block: 1024, Max Grid Size: [2^30, 2^15, 2^15]
   0.0000s   c [gpu] - Shared Mem. /Block: 48.00 KB, Warp Size: 32
   0.0000s   c [gpu] PI_num = 36, PO_lit = 98, mem_sz = 171, n_ops = 3860
   0.0000s   c [gpu] r_bits = 30, r_max = 1073741824
   0.0000s   c [gpu] Processing 1073741824 rounds in 8192 batches of 131072 each
   0.5349s   c [gpu] Progress:   0.00% (0/8192 batches)
   0.5732s   c [gpu] Progress:   1.22% (100/8192 batches)
   0.5737s   c [gpu] Progress:   2.44% (200/8192 batches)
   0.5729s   c [gpu] Progress:   3.66% (300/8192 batches)
   0.5728s   c [gpu] Progress:   4.88% (400/8192 batches)
   0.5730s   c [gpu] Progress:   6.10% (500/8192 batches)
   0.5729s   c [gpu] Progress:   7.32% (600/8192 batches)
   0.5728s   c [gpu] Progress:   8.54% (700/8192 batches)
   0.5730s   c [gpu] Progress:   9.77% (800/8192 batches)
   0.5730s   c [gpu] Progress:  10.99% (900/8192 batches)
   0.5728s   c [gpu] Progress:  12.21% (1000/8192 batches)
   0.5730s   c [gpu] Progress:  13.43% (1100/8192 batches)
   0.5729s   c [gpu] Progress:  14.65% (1200/8192 batches)
   0.5729s   c [gpu] Progress:  15.87% (1300/8192 batches)
   0.5728s   c [gpu] Progress:  17.09% (1400/8192 batches)
   0.5730s   c [gpu] Progress:  18.31% (1500/8192 batches)
   0.5729s   c [gpu] Progress:  19.53% (1600/8192 batches)
   0.5728s   c [gpu] Progress:  20.75% (1700/8192 batches)
   0.5765s   c [gpu] Progress:  21.97% (1800/8192 batches)
   0.5728s   c [gpu] Progress:  23.19% (1900/8192 batches)
   0.5727s   c [gpu] Progress:  24.41% (2000/8192 batches)
   0.5729s   c [gpu] Progress:  25.63% (2100/8192 batches)
